,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,mataura,NZ,-46.1927,168.8643,41.49,98,35,2.53,scattered clouds
1,new norfolk,AU,-42.7826,147.0587,58.5,63,52,3.0,moderate rain
2,butaritari,KI,3.0707,172.7902,82.76,68,60,13.15,broken clouds
3,saint-philippe,RE,-21.3585,55.7679,72.99,84,51,8.57,broken clouds
4,orzhytsya,UA,49.7918,32.7012,75.83,60,79,6.55,broken clouds
5,cody,US,44.5263,-109.0565,80.91,18,1,13.8,clear sky
6,jasper,US,37.2001,-94.3502,92.44,64,20,3.0,few clouds
7,barrow,US,71.2906,-156.7887,37.42,81,90,8.05,overcast clouds
8,iqaluit,CA,63.7506,-68.5145,47.93,71,90,9.22,overcast clouds
9,juba,SS,4.8517,31.5825,73.44,85,76,4.52,light rain
10,punta arenas,CL,-53.15,-70.9167,42.82,65,75,26.46,broken clouds
11,rikitea,PF,-23.1203,-134.9692,69.89,66,2,17.63,clear sky
12,cabo san lucas,MX,22.8909,-109.9124,78.51,93,90,1.01,overcast clouds
13,luderitz,NA,-26.6481,15.1594,65.37,47,4,5.37,clear sky
14,matagami,CA,49.7502,-77.6328,73.51,88,75,9.22,moderate rain
15,batagay-alyta,RU,67.8006,130.4114,60.55,37,92,1.16,overcast clouds
16,sitka,US,57.0531,-135.33,57.09,88,90,17.27,light rain
17,bluff,NZ,-46.6,168.3333,41.81,87,21,10.18,few clouds
18,albany,US,42.6001,-73.9662,84.92,69,42,8.05,scattered clouds
19,arraial do cabo,BR,-22.9661,-42.0278,82.36,61,0,16.11,clear sky
20,georgiyevka,KZ,43.0369,74.7114,66.24,63,0,6.71,clear sky
21,lompoc,US,34.6391,-120.4579,85.21,79,1,5.75,mist
22,artigas,UY,-30.4,-56.4667,54.32,71,100,11.18,overcast clouds
23,atuona,PF,-9.8,-139.0333,78.28,67,61,20.96,broken clouds
24,vaini,TO,-21.2,-175.2,68.16,77,75,16.11,broken clouds
25,beringovskiy,RU,63.05,179.3167,47.64,79,55,5.37,broken clouds
26,ushuaia,AR,-54.8,-68.3,38.82,86,40,24.16,light snow
27,picayune,US,30.5255,-89.6795,93.85,73,77,2.68,broken clouds
28,mahebourg,MU,-20.4081,57.7,70.25,100,75,2.3,light rain
29,chuy,UY,-33.6971,-53.4616,53.06,78,95,10.27,overcast clouds
30,atar,MR,20.5169,-13.0499,105.67,11,26,12.64,scattered clouds
31,port alfred,ZA,-33.5906,26.891,58.17,69,0,12.77,clear sky
32,nayoro,JP,44.3506,142.4578,54.36,93,100,14.54,overcast clouds
33,malaryta,BY,51.7905,24.074,71.98,56,55,6.02,broken clouds
34,bredasdorp,ZA,-34.5322,20.0403,47.52,81,0,3.44,clear sky
35,hambantota,LK,6.1241,81.1185,79.54,82,75,18.68,broken clouds
36,vila franca do campo,PT,37.7167,-25.4333,75.61,66,4,6.6,clear sky
37,goderich,CA,43.7501,-81.7165,78.21,78,100,14.97,overcast clouds
38,mar del plata,AR,-38.0023,-57.5575,48.22,57,75,5.75,broken clouds
39,qaanaaq,GL,77.484,-69.3632,42.64,53,95,10.96,overcast clouds
40,mazarron,ES,37.5992,-1.3149,88.72,52,53,10.54,broken clouds
41,areka,ET,7.0667,37.7,60.98,92,75,6.58,moderate rain
42,coquimbo,CL,-29.9533,-71.3436,56.93,71,0,12.66,clear sky
